event_id,title,event_date,description,venue,organizer,registration_link,image_link
1,Celebrating 76th Republic Day,"Jan 26, 2025",Celebrating 76th Republic Day,"IIIT Dharwad, Dharwad",,,https://iiitdwd.ac.in/images/IMG_4670.webp
2,Celebrating 78th Independence Day,"Aug 15, 2024",Celebrating 78th Independence Day,"IIIT Dharwad, Dharwad",,,https://iiitdwd.ac.in/images/independence_day_78_1.webp
3,Inter IIIT Sport meet at IIIT Allahabad,"Mar 6, 2024",Inter IIIT Sport meet at IIIT Allahabad,"IIIT Allahabad, Prayagraj",,,https://iiitdwd.ac.in/images/iiitevent.webp
4,9th International Day of Yoga,"Jun 21, 2023",9th International Day of Yoga,"IIIT Dharwad, Dharwad",,,https://iiitdwd.ac.in/images/yoga1.jpg
5,Inauguration of IIIT Dharwad,"Sep 26, 2022",Inauguration of IIIT Dharwad,"Street : IIIT Dharwad Campus, M Block, Dharwad",,,https://iiitdwd.ac.in/images/inaug.webp
6,World Blood Donor Day 2022,"Jun 14, 2022",World Blood Donor Day 2022,"Street : IIIT Campus, h-block, Dharwad",,,https://iiitdwd.ac.in/images/blooddonor.webp
7,World Environment Day 2022,"Jun 5, 2022",World Environment Day 2022,"IIIT Dharwad, Dharwad",,,https://iiitdwd.ac.in/images/E1.jpg
8,Sports Day 2022,"Apr 29, 2022",Sports Day 2022,"IIIT Campus, M-block, Dharwad",,,https://iiitdwd.ac.in/images/sports2022.png
9,International Women's Day 2022,"Mar 8, 2022",International Women's Day 2022,"Street : Kanavi Honnapur, Kanavi Honnapur Hiriya Prathamika Shale, Dharwad",,,https://iiitdwd.ac.in/images/W1.jpeg
10,Orientation Program 2021-22,"Dec 22, 2021",Orientation Program 2021-22,"IIIT Campus, e-block, Dharwad",,,https://iiitdwd.ac.in/images/orientation0.png
11,Faculty Development Program on Smart Cities 2021,"Nov 8, 2021",Faculty Development Program on Smart Cities 2021,"Street : IIIT Campus, e Block, IIIT Dharwad, Dharwad",,,https://iiitdwd.ac.in/images/fdp.jpg
12,Fit Indian Freedom Run 2.0,"Sep 24, 2021",Fit Indian Freedom Run 2.0,"IIIT Dharwad, Dharwad",,,https://iiitdwd.ac.in/images/fit01.jpg
13,Special Lecture Series by Prof R Vittal Rao,"Aug 13, 2021",Special Lecture Series by Prof R Vittal Rao,"Street : IIIT Dharwad Campus, M Block, Dharwad",,,https://iiitdwd.ac.in/images/vittalrao.jpg
14,Matribhasha Diwas,"Feb 23, 2021",Matribhasha Diwas,"Street : IIIT Campus, e Block, IIIT Dharwad, Dharwad",,,https://iiitdwd.ac.in/images/diwas.jpg
15,Prof. HiroyaFujisaki visit,"Mar 17, 2021",Prof. HiroyaFujisaki visit,"Street : IT Park, Conference Room, IIIT Dharwad, Hubli",,,https://iiitdwd.ac.in/images/Prof._HiroyaFujisaki_Visit.webp
16,Chairperson Visit,"Mar 22, 2018",Chairperson Visit,"Street : IT Park, Seminar Hall, IIIT Dharwad, Hubli",,,https://iiitdwd.ac.in/images/Chairperson_Visit.webp
17,N R Narayana Murthy Visit,"Feb 3, 2018",N R Narayana Murthy Visit,"Street : IT Park, Seminar Hall, IIIT Dharwad, Hubli",,,https://iiitdwd.ac.in/images/NR_murthy.webp
